Chapter,Verse,Sanskrit ,Word Meanings,Translation ,chapter,verse,sanskrit,translation,question
1,23,ईश्वरप्रणिधानाद्वा,"ईश्वर  = divine ideal of pure awareness; 
प्रणिधान  = surrender, dedication, application, alignment;  वा  = or",Another pathway to realization involves being directed toward the ideal of pure awareness i.e. Ishvara or God.,,,,,
1,24,क्लेशकर्मविपाकाशयैरपरामृष्टः पुरुषविशेष ईश्वरः,"क्लेश  = cause of suffering, corruption, hindrance, affliction, poison; कर्म  = action; विपाक  = ripening, fruition; शयै  = store, residuum; अपरामृष्ट  = untouched, unaffected; पुरूष  = pure awareness; विशेष  = difference, distinction; exemplary, distinct; ईश्वर  = divine ideal of pure awareness","Ishvara or God is a unique and incorruptible manifestation of pure awareness that is completely independent of cause and effect, and devoid of any latent impressions.",,,,,
1,25,तत्र निरतिशयं सर्वज्ञबीजम्,"तत्र  = there, in that; निरतिशयं  = incomparable, unsurpassed; सर्वज्ञ  = all knowing;  बीजम  = seed, source
",Isvara or God is limitless and with unparalleled omniscience.,,,,,
1,26,स एषः पूर्वेषामपि गुरुः कालेनानवच्छेदात्,"स  = this, that; पूर्वेषाम  = earlier; अपि  = also; गुरु  = teacher, mentor; कालेन  = by time, temporally;  आनवच्छेदात् = unbounded, continuous
","Being beyond time, Isvara or God is revered as the primoridial master by the ancients.",,,,,
1,27,तस्य वाचकः प्रणवः,"तस्य  = of this, that; वाचक  = signifying, connoting; प्रणव = the syllable pronounced om","Isvara or God is symbolized by the sacred sound of ""Om"".",,,,,
1,28,तज्जपस्तदर्थभावनम्,"तत = that; जप  = repetition, intonation;  तद  = its, that;
अर्थ  = meaning, purpose; भावनम  = realizing, becoming",This verbatim of Ishvara is to be repeated with devotion along with its meaning.,,,,,
1,29,ततः प्रत्यक्चेतनाधिगमोऽप्यन्तरायाभावश्च,"ततः  = therefore, from these; प्रत्यक  = inward; चेतना  = consciousness; अधिगमो = attainment;अपि  = also;
अन्तराय  = obstacle; अभाव = disappearance; च = and
","As one continues to focus on Ishvara as mentioned, one's consciouness ascends and also obstacles begin to dissipate.",,,,,
1,30,व्याधिस्त्यानसंशयमप्रमादालस्याविरतिभ्रान्तिदर्शनालब्धभूमिकत्वानवस्थितत्वानि चित्तविक्षेपास्तेऽन्तरायाः,"व्याधि  = sickness;  स्त्यान = apathy; संशय  = doubt; प्रमाद  = carelessness; आलस्य  = laziness; अविरति = sexual indulgence; भ्रान्ति  = false; दर्शन  = vision, perspective; अलब्ध  = failing to attain; भूमिकत्वा = developmental stages;  अनवस्थितत्वानि = inconstancy, instability; चित्त  = consciousness; विक्षेप  = distraction, stirring up; ते  = these; अन्तराय  = obstacles","Obstacles such as sickness, apathy, doubt, carelessness, laziness, hedonism, delusion, lack of progress, and inconstancy all serve as distractions that clouds consciousness and act as barriers.",,,,,
1,31,दुःखदौर्मनस्याङ्गमेजयत्वश्वासप्रश्वासा विक्षेपसहभुवः,"दुःख  = distress, pain, suffering; दौर्मनस्य  = depression; अंगम = limb; एजयत्व  = trembling; श्वास = disturbed inhalation; प्रश्वास = disturbed exhalation; विक्षेप = distraction, stirring up; सहभुव = accompanying","These distractions may result in feelings of distress, depression, or an inability to maintain steadiness of posture or breathing (uncontrolled inhalations & exhalations).",,,,,
1,32,तत्प्रतिषेधार्थमेकतत्त्वाभ्यासः,"tad = that, these
 pratiæedha = subdue, ward off
 artham = meaning, purpose, approach
 eka = one
 tattva = thusness, elemental quality, principle abhyâsaï = practice, action, method
","However, focus towards one unwavering 'element' (here Ishwara) can help one subdue these distractions.",,,,,
1,33,मैत्रीकरुणामुदितोपेक्षाणां सुखदुःखपुण्यापुण्यविषयाणां भावनातश्चित्तप्रसादनम्,"मैत्री  = friendliness; करुणा  = compassion; मुदिता  = delight; उपेक्षणा  = equanimity; सुख  = happiness; दुःख  = distress, pain, suffering; पुण्य  = good, virtuous; अपुण्य  = bad, evil; विषयाणाम  = object (of experience); भावनात  = radiating, projecting; चित्त  = consciousness; प्रसादनम  = calming, tranquilizing, clarification
","Other means involves radiating friendliness, compassion, delight, and equanimity towards one who is pleasant, in pain, good and bad respectively.",,,,,
1,34,प्रच्छर्दनविधारणाभ्यां वा प्राणस्य,"प्रच्छर्दन = exhalation, expulsion;  विधारणाभ्यां = pause, retention;  वा = or; प्राणस्य = breath, life force
",Another way involves pausing after forceful exhalations.,,,,,
1,35,विषयवती वा प्रवृत्तिरुत्पन्ना मनसः स्थितिनिबन्धनी,"विषय  = object (of experience), phenomenon; वती  = having; वा  = or; प्रवृत्ति  = arising of activity; उत्पन्न = arisen, produced; मनसः = mind; स्थिति = stability, steadiness; निबन्धनी = holds",Steadily observing as new (sattvik) sensations arise  (by the means of any of the 5 sense organs) can be a way to subdue distractions and focus the mind.,,,,,
1,36,विशोका वा ज्योतिष्मति,"विशोका  = free of sorrow; वा  = or; ज्योतिष्मती  = luminous
",Experiencing thoughts that are luminous and free of sorrow can also aid in achieving stillness of mind.,,,,,
1,37,वीतरागविषयं वा चित्तम्,"वित  = free from, without; राग  = desire, passion, attachment; विषयं = object (of experience); वा = or; चित्त = consciousness
",Focusing on things/people that do not inspire attachment can be a helpful technique in meditation.,,,,,
1,38,स्वप्ननिद्राज्ञानालम्बनं वा,स्वप्न  = dream; निद्रा  = sleep; ज्ञान  = knowledge; आलम्बनं = resting on; वा = or,Reflecting on insights gained while asleep and dreaming can be a source of guidance too.,,,,,
1,39,यथाभिमतध्यानाद्वा,यथा = as; अभिमत  = desired; ध्यानात  = meditative absorption; वा = or,Meditative absorption in any desired (sattvik) object of one's choice can lead to a state of deep concentration and awareness.,,,,,
1,40,परमाणुपरममहत्त्वान्तोऽस्य वशीकारः,"परम  = ultimate, highest, purest; अणु = minute, infinitesimal; महत्त्व = greatness, magnitude; अंतो = extending from...to; अस्य  = his; वशीकार  = mastery
","Complete absorption in any object, whether subtlest and (macroscopic or) microscopic , is possible through meditation.",,,,,
1,41,क्षीणवृत्तेरभिजातस्येव मणेर्ग्रहीतृग्रहणग्राह्येषु तत्स्थतदञ्जनता समापत्तिः,"क्षीण  = dwindled, decreased; वृत्ति  = patterning, turnings, movements; अभिजातस्य  = faultless, transparent; ईव = like; मणि  = jewel; गृहीत  = one who grasps, perceiver; ग्रहण  = grasping, perceiving; ग्राह्येषु  = grasped, object of perception; तत  = that; स्थ  = abide; तत  = that; अञ्जनता = saturation, taking the form of something else; समापत्ति = coalescence, unified contemplation
","As the fluctuations of mind fade away, a transparent mode of perception called 'samapatti'* alike to a transparent jewel/prism takes over. This transparent mind reflects everything in its perview equally - subject, object, or act of perceiving - like a prism (reflecting the constituents of light in seven colors).",,,,,
1,42,तत्र शब्दार्थज्ञानविकल्पैः संकीर्णा सवितर्का समापत्तिः,"तत्र  = there, in that; शब्द  = verbal, linguistic; अर्थ  = meaning, purpose; ज्ञान  = knowledge; विकल्प  = conceptualization; संकीर्ण  = intermingled; सवितर्क  = thought; समापत्ति  = coalescence, unified contemplation","In the state of 'savitarka samapatti'* i.e. samapatti* with physical awareness constitutes with liguistic idea of word, meaning and idea.",,,,,
1,43,स्मृतिपरिशुद्धौ स्वरूपशून्येवार्थमात्रनिर्भासा निर्वितर्का,"स्मृति = memory, mindfulness; परिशुद्धौ = wiping clean, purification; स्वरूप = own form, identity; शून्य  = empty; इव = like; अर्थ  = meaning, purpose; मात्र  = only; निर्भासा  = shining; निर्वितर्का  = beyond thought
","At the next stage, objects lose their association with memory and are formless, revealing only their essential nature. This stage is known as 'nirvitarka'*.",,,,,
1,44,एतयैव सविचारा निर्विचारा च सूक्ष्मविषया व्याख्याता,"एतयैव  = by this; ईव = like, thus; सविचार  = reflecting; निर्विचार  = not reflecting; च = and; सुक्ष्म  = subtle; विषय  = object (of experience), phenomenon; व्याख्यात = described, explained
","Similarly, the states of 'savichara'* and 'nirvichara'* have objects of contemplation which are subtle in nature.",,,,,
1,45,सूक्ष्मविषयत्त्वं चालिङ्गपर्यवसानम्,"सूक्ष्म = subtle; विषयत्वं  = the thing itself, thus-ness of an object; च  = and; अलिंग  = without form; पर्यवसानम  = ending, terminating","By tracing subtle objects back to their undifferentiated nature, they can be understood.",,,,,
1,46,ता एव सबीजः समाधिः,"ता  = these; एव  = only, also; सबीज  = with seed; समाधि  = oneness, integration
","The four atages of awareness (mentioned above) - savitarka*, nirvitarka*, savichara* and nirvichara *- are referred to as meditative absorption that contains latent impressions (seeds).",,,,,
1,47,निर्विचारवैशारद्येऽध्यात्मप्रसादः,"निर्विचार = not reflecting; वैशारद्ये = lucidity, purity; अध्यात्म = innermost self; प्रसाद  = calming, pacification, clarification
","(Among these four stages) once the stage of nirvichara* is comprehended, the nature of the self is illuminated.",,,,,
1,48,ऋतंभरा तत्र प्रज्ञा,ऋतं = truth; भरा  = bearing; तत्र  = in that; प्रज्ञा  = wisdom,The wisdom that arises from this comprehension is infallible.,,,,,
1,49,श्रुतानुमानप्रज्ञाभ्यामन्यविषयाविशेषार्थत्वात्,"श्रुती  = what has been heard, teachings; अनुमान  = inference; प्रज्ञाभाम  = wisdom; अन्य  = other; विषय  = object (of experience), phenomenon; विशेष = difference, distinction; अर्थत्वात  = function, role","This wisdom, unlike knowledge gained from inference or instruction, therefore holds a special importance.",,,,,
1,50,तज्जः संस्कारोऽन्यसंस्कारप्रतिबन्धी,"तत = that; जै  = born of; संस्कार  = latent impressions; अन्य = other; संस्कार  = latent impressions; प्रतिबन्धी = prevents, obstructs
","The impressions/ideas generated by this special knowledge, hinder the activation of other impressions.",,,,,
1,51,तस्यापि निरोधे सर्वनिरोधान्निर्बीजः समाधिः,"तस्य = of this; अपि  = also; निरोध = stilling, cessation, restriction; सर्व = all; निरोध  = stilling, cessation, restriction; निर्बीज = seedless; समाधि = oneness, integration
","When these impressions too come to an end, and the movement of consciousness is entirely pacified, this stage of 'impressionless' consciousness is termed as 'seedless' meditative absorption.",,,,,
2,1,तपः स्वाध्यायेश्वरप्रणिधानानि क्रियायोगः,"तप  = heat, intensity of discipline, austerity; स्वाध्याय  = self-study; ईश्वर = divine ideal of pure awareness; प्रणिधान = dedication, application, alignment; क्रिया = action; योग = process of yoking; union","Kriya Yoga comprises of self discipline, study of self, and devotion towards Ishvara.",,,,,
2,2,समाधिभावनार्थः क्लेशतनूकरणार्थश्च,"समाधि  = oneness, integration; भावना  = realizing, becoming; अर्थ  = meaning, purpose; क्लेश  = cause of suffering, corruption, hindrance, affliction, poison; तनू  = slender, weak; करण = making; अर्थ = meaning, purpose; च = and
",The aim of this path of action is to eliminate the roots of suffering and accomplish samadhi* (an advanced meditative state).,,,,,
2,3,अविद्यास्मितारागद्वेषाभिनिवेशाः पञ्च क्लेशाः,"अविद्या  = lack of wisdom, not seeing things as they are; अस्मिता = the sense of ‘I’, egoism; राग  = desire, passion, attachment; द्वेष  = aversion; अभिनिवेश  = clinging to life, self-preservation; क्लेश  = cause of suffering, corruption, hindrance, affliction, poison","The roots of suffering include - ignorance, the sense of 'I', attachment, aversion, and fear of death.",,,,,
2,4,अविद्या क्षेत्रमुत्तरेषां प्रसुप्ततनुविच्छिन्नोदाराणाम्,"अविद्या  = lack of wisdom, not seeing things as they are; क्षेत्र  = field; उत्तरेषां  = other, following; प्रसुप्त  = dormant; तनु  = thin; विच्छिन्न  = interrupted; उदारानाम  = activated, aroused
","The causes of suffering germinate due to 'ignorance' and these sufferings can be either dormant, weakened, interrupted or fully activated.",,,,,
2,5,अनित्याशुचिदुःखानात्मसु नित्यशुचिसुखात्मख्यातिरविद्या,"अनित्य  = impermanent; अशुचि  = impure; दुःख  = distress, pain, suffering; अनात्मसु  = not self; नित्य  = permanent; अशुचि = pure; सुख  = happiness; आत्म = self, essence; ख्याति  = seeing; अविद्या  = lack of wisdom, not seeing things as they are","Ignorance is the state where one confuses impermanence, impurity, distress, and non self with permanence, purity, happiness, and self.",,,,,
2,6,दृग्दर्शनशक्त्योरेकात्मतेवास्मिता,"दृग = pure awareness, witness, see-er; दर्शन = vision, perspective; आक्त्यो  = power; एक  = one; आत्मता  = selfhood; एव  = as it were, like, thus; अस्मिता = the sense of ‘I’, egoism
",The sense of 'I' (wrongly) identifies perception of pure awareness as the perception of the senses.,,,,,
2,7,सुखानुशयी रागः,"सुख  = happiness, pleasure; अनुशयी  = following; राग = wanting, desire, passion, attachment
",Attachment is the cause of pleasurable experiences.,,,,,
2,8,दुःखानुशयी द्वेषः,"दुःख  = distress, pain, suffering; अनुशयी  = following; द्वेष  = aversion
",Aversion is a cause of suffering(s).,,,,,
2,9,स्वरसवाही विदुषोऽपि तथा रूढोऽभिनिवेशः,"स्व  = own;  रस = taste; वाही  = flowing; विदुषी   = sage, wise person; अपि  = also, even; तथा  = thus; रुढो = rooted; अभिनिवेश  = self-preservation
","Even the wise similar to a non-wise, instinctively fear death, perpetuating suffering.",,,,,
2,10,ते प्रतिप्रसवहेयाः सूक्ष्माः,"ते  = these; प्रति  = with regard to, toward, reversing; प्रसव  = flow, motion, creation, inception; हेय = overcome, overwhelmed; सुक्ष्म  = subtle
",These kleshas* (sufferings) are very subtle (hence not easily erased). They are eliminated only when the mind merges into its orgin.,,,,,
2,11,ध्यानहेयास्तद्वृत्तयः,"ध्यान = meditative absorption; हेय = overcome, overwhelmed; तद = its, that, of these; वृत्तय = patterning, turnings, movements
","Through meditation, the fluctuations of mind that arise due to these kleshas* (sufferings) can be terminated.",,,,,
2,12,क्लेशमूलः कर्माशयो दृष्टादृष्टजन्मवेदनीयः,"क्लेश = cause of suffering, corruption, hindrance, affliction, poison; मूल  = root; कर्म  = action; शय  = store, residuum; दृष्टा  = seen, perceptible; अदृष्टा = unseen; जन्म = birth; वेदनीय = to be experienced
","The deposits of karma* (actions) are rooted in the causes of klesha* (suffering), which is experienced either in the future or in the present.",,,,,
2,13,सति मूले तद्विपाको जात्यायुर्भोगाः,"सति  = existing; मूल  = root; तद = its, that; विपाक = ripening, fruition; जाति = birth, rank; आयु = span of life; भोग = experience, enjoyment
","As long as the root source i.e. klesha (suffering) exists, its contents will continue to result as - type of birth, span of life, and experience of life.",,,,,
2,14,ते ह्लादपरितापफलाः पुण्यापुण्यहेतुत्वात्,"ते  = they, these; ह्लाद = delight; परिताप = anguish; फल = fruit; पुण्य  = good, virtuous; अपुण्य = bad, evil; हेतुत्वात = causality
","Each person's- type of birth, span of life, and experience of life, fructifes either as pleasure or pain, which is resultant of their past virtuous or viceful actions.",,,,,
2,15,परिणाम तापसंस्कार दुःखैर्गुणवृत्तिविरोधाच्च दुःखमेव सर्वं विवेकिनः,"परिणाम  = transformation; ताप   = anguish; संस्कार = latent impressions; दुःख = distress, pain, suffering; गुण = fundamental qualities of nature; वृत्ति  = patterning, turnings, movements; विरोधात = conflict, opposition; च = and; दुःख = distress, pain, suffering; एव = thus; सर्व = all; विवेकिन = a person of discrimination
","The wise recognize that suffering is inherent in all experiences, whether it be the agony of the results of actions, or the pain of distress, or of the burden of latent impressions (samskaras*) filled with suffering, along with the constant struggle of the flutuations of the mind due to the fundamental qualities (gunas*) of nature.",,,,,
2,16,हेयं दुःखमनागतम्,"हेयं  = overcome, overwhelmed; दुःख = distress, pain, suffering; अनागतम = future
","However, it is possible to prevent suffering from arising altogether.",,,,,
2,17,द्रष्टृदृश्ययोः संयोगो हेयहेतुः,"दृष्टा = seer, witness, pure awareness; दृश्य = what is seen; संयोग = union, coupling; हेय  = overcome, overwhelmed; हेतु = cause",The root cause of all suffering is the mistaken belief that pure awareness and the perception of awareness are inseparable.,,,,,
2,18,प्रकाशक्रियास्थितिशीलं भूतेन्द्रियात्मकं भोगापवर्गार्थं दृश्यम्,"प्रकाश  = brightness; क्रिया = action; स्थिति = stability, steadiness; शीलं = character;भूत  = element; इन्द्रिय  = sensory apparatus; आत्मकं  = self, essence; भोग  = experience, enjoyment; अपवर्ग = emancipation, liberation; अर्थ = meaning, purpose, approach; दृश्यम = what is seen","The phenomenal world that awareness perceives is characterized by luminosity (sattva), activity (rajas), and inertia (tamas), and is composed of - elements and senses, and serves the purpose of both sensual experience as well as liberation (to drasta*).",,,,,
2,19,विशेषाविशेषलिङ्गमात्रालिङ्गानि गुणपर्वाणि,"विशेष = difference, distinction; distinct; अविशेष = indistinct; लिंग  = mark, characteristic; मात्र  = only; अलिंगानि = undifferentiated, without marks; गुण = fundamental qualities of nature; पर्वाणि = level, state
","The various levels of existence - whether they are  differentiated, undifferentiated, distinct or indistinct - are all expressions of the basic characteristics inherent in nature (gunas*).",,,,,
2,20,द्रष्टा दृशिमात्रः शुद्धोऽपि प्रत्ययानुपश्यः,"दृष्टा = pure awareness, witness, see-er; दृशि = seeing; मात्र = only; सुद्ध = pure; अपि = also, although; प्रत्यय = perception, thought, intention, representation; अनुपश्य = to behold
","Pure awareness (drashta*) is simply the act of seeing (hence called seer), but it typically appears to function through the perceiving mind despite its purity.",,,,,
2,21,तदर्थ एव दृश्यस्यात्मा,"तद = its, that; अर्थ = meaning, purpose, approach; एव = thus; दृश्य = of what is seen; आत्म = self, essence
",The purpose of the phenomenal world (drashya*) is essentially to reveal this truth (for the seer).,,,,,
2,22,कृतार्थं प्रतिनष्टमप्यनष्टं तदन्यसाधारणत्वात्,"कृत = done, accomplished; अर्थ = meaning, purpose, approach; प्रति = with regard to, toward, reversing; नष्ट = ceased; अपि  = also; अनष्ट  = not ceased; तद = its, that; अन्य = other; साधारणत्वात = common experience","Once this realization occurs, the phenomenal world ceases to be for them, but remains a common reality for the (non-realized) others.",,,,,
2,23,स्वस्वामिशक्त्योः स्वरूपोपलब्धिहेतुः संयोगः,"स्व  = own; स्वामी = owner; शक्ती  = power; स्व  = own; रूप = form; उपलब्धि = acquisition; हेतु = cause, reason; संयोग = union, coupling
","It is the apparent indivisibility of pure awareness and the phenomenal world (i.e. the concept of conjunction), that gives insight into the potency of both the possessor and the possessed.",,,,,
2,24,तस्य हेतुरविद्या,"तस्य = of this, that; हेतु = cause, reason; अविद्या = lack of wisdom, not seeing things as they are
",The cause of this phenomenon (of conjunction) is ignorance.,,,,,
2,25,तदभावात्संयोगाभावो हानं तद्दृशेः कैवल्यम्,"तद = its, that; अभावात   = non-existence, non-becoming, disappearance; संयोग = union, association, mingling; अभाव = non-existence, non-becoming, disappearance; हानं = cessation; तद = its, that; दृश्यो = seeing; कैवल्यम = emancipation, isolation of pure awareness","When this ignorance fades, the appearance of indivisibility also fades, and it becomes clear that pure awareness is free and unaffected by phenomenal world which the state of liberation (kaivalya*).",,,,,
2,26,विवेकख्यातिरविप्लवा हानोपायः,"विवेक = discrimination; ख्याति = seeing; अविप्ल्व = continuous, uninterrupted; हान = cessation; उपाय = means
","Unflinching discriminative discernment (between the seer and the seen) is the path to liberation (not the final state yet, this is the upper stage of Ritambhara pragya (1.48) where even this prayga ceases).",,,,,
2,27,तस्य सप्तधा प्रान्तभूमिः प्रज्ञा,"तस्य  = of this, that; सप्तधा = sevenfold; प्रान्त = last; भूमि  = stage, level; प्रज्ञा = wisdom
","On this path of liberation, the one (yogi) with the wisdom of discriminative discernment extends to seven ultimate stages.",,,,,
2,28,योगाङ्गानुष्ठानादशुद्धिक्षये ज्ञानदीप्तिरा विवेकख्यातेः,"योग = process of yoking, union; अंग = limb, component; अनुष्ठान = performance, practice; अशुद्धि = impurity; क्षय = dwindling, decreasing; ज्ञान = knowledge; दीप्ती = radiance; ए = extending to; विवेक = discrimination; ख्याति = seeing","By practicing the components of yoga, impurities diminish, allowing the light of understanding to shine and illuminate the path to discriminative awareness.",,,,,
2,29,यमनियमासनप्राणायामप्रत्याहारधारणाध्यानसमाधयोऽष्टावङ्गानि,"यम = external discipline; नियम  = internal discipline; आसन = posture; प्राणायाम = breath regulation; प्रत्याहार = withdrawal of the senses; धारणा = concentration; ध्यान = meditative absorption; समाधि = oneness, integration; अष्टावङ्गानि = eight
 aògâni = limbs","Social discipline, personal observances, pyscho-physical posture, breath regulation, withdrawl of senses, concentration, meditation and liberation make up the eight limbs of yoga.",,,,,
2,30,अहिंसासत्यास्तेयब्रह्मचर्यापरिग्रहा यमाः,"अहिंसा = not harming; सत्य = truthfulness, truth; अस्तेय = not stealing; ब्रह्मचर्य = celibacy, impeccable conduct; अपरिग्रह = not being acquisitive; यम = external discipline","The five social disciplines are non-violence, being truthful, not stealing, practicing celibacy, and avoiding materialism.",,,,,
2,31,जातिदेशकालसमयानवच्छिन्ना सार्वभौमा महाव्रतम्,"जाति = birth, rank; देश = place; काल = time; समय = circumstance; अनवच्छिन्ना = unlimited, irrespective of; सर्व = all; भौम = at a level; महा  = great; व्रतम = vow, commitment","These principles are solemn resolutions. They are not bound by one's social status, territory, specific time or any duration. They are universal.",,,,,
2,32,शौचसंतोषतपः स्वाध्यायेश्वरप्रणिधानानि नियमाः,"शौच  = purity; संतोष = contentment; तप = heat, intensity of discipline, austerity; स्वाध्याय = self-study; ईश्वर = divine ideal of pure awareness; प्रणिधान = surrender, dedication, application, alignment; नियम  = internal discipline","The five personal observances are purifying the body, cultivating contentment, practicing austerity, self-study, and devotion to God.",,,,,
2,33,वितर्कबाधने प्रतिपक्षभावनम्,"वितर्क = analytical thinking, unwholesome thoughts; बाधन = repelling; प्रतिपक्ष = opposite; भावनम = realizing, becoming
",Negative thoughts can be countered by developing positive ones.,,,,,
