Chapter,Verse,Concept,Keyword,Sanskrit,English,Speaker,Sanskrit ,Swami Adidevananda,Swami Gambirananda,Swami Sivananda,Dr. S. Sankaranarayan,Shri Purohit Swami,chapter,verse,speaker,sanskrit,translation,question,Shloka,Sanskrit Word,English Meaning,Hindi Meaning
2,62,Detachment,Detachment,ध्यायतो विषयान्पुंसः सङ्गस्तेषूपजायते| सङ्गात् संजायते कामः कामात्क्रोधोऽभिजायते || 2.62 ||  ,"When an individual constantly thinks on objects, attachment to those objects arises. From this attachment, desire grows and from desire, anger arises.",,,,,,,,,,,,,,,,,
2,63,"Anger, Delusion",Agitation,क्रोधाद्भवति संमोहः संमोहात्स्मृतिविभ्रमः| स्मृतिभ्रंशाद् बुद्धिनाशो बुद्धिनाशात्प्रणश्यति || 2.63 ||  ,"Anger leads to delusion, which in turn results in the loss of memory. The loss of memory causes the loss of one's discriminative abilities, and without proper discrimination, one's downfall is certain.",,,,,,,,,,,,,,,,,
2,64,"Equanimity, Sense control",Equanimity,रागद्वेषवियुक्तैस्तु विषयानिन्द्रियैश्चरन्| आत्मवश्यैर्विधेयात्मा प्रसादमधिगच्छति || 2.64 ||  ,"The self-controlled person achieves tranquility by perceiving objects with senses that are free from attraction and repulsion, and are under his own control.",,,,,,,,,,,,,,,,,
2,71,Peace,Peace,विहाय कामान्यः सर्वान्पुमांश्चरति निःस्पृहः| निर्ममो निरहंकारः स शांतिमधिगच्छति || 2.71 ||  ,"The individual who rejects all desires and moves without any attachment or sense of ownership, and without any arrogance, attains true inner peace.",,,,,,,,,,,,,,,,,
3,8,Importance of performing duty,Duty,नियतं कुरु कर्म त्वं कर्म ज्यायो ह्यकर्मणः| शरीरयात्रापि च ते न प्रसिद्ध्येदकर्मणः || 3.8 ||  ,"Perform one's essential duties, because action is superior to inaction. Even the sustenance of one's body is impossible through inaction.",,,,,,,,,,,,,,,,,
3,19,Detachment,Detachment,तस्मादसक्तः सततं कार्यं कर्म समाचर| असक्तो ह्याचरन्कर्म परमाप्नोति पूरुषः || 3.19 ||  ,"Therefore, it is important to be detached and consistently fulfill one's obligatory duty, because by doing so without attachment, one can attain the Highest state.",,,,,,,,,,,,,,,,,
3,37,"Cause of Sin, Rajas, Anger",Gunas,काम एष क्रोध एष रजोगुणसमुद्भवः| महाशनो महापाप्मा विद्ध्येनमिह वैरिणम् || 3.37 ||  ,"Recognize desire and anger, which arise from the quality of rajas, as great destroyers and great sins. They should be considered as the enemy within.",,,,,,,,,,,,,,,,,
3,38,Ignorance,Ignorance,धूमेनाव्रियते वह्निर्यथाऽऽदर्शो मलेन च| यथोल्बेनावृतो गर्भस्तथा तेनेदमावृतम् || 3.38 ||  ,"Just as fire is covered by smoke, a mirror is obscured by dirt, and a foetus is enclosed in the womb, similarly the true nature of the self is covered by that.",,,,,,,,,,,,,,,,,
3,39,Ignorance,Ignorance,आवृतं ज्ञानमेतेन ज्ञानिनो नित्यवैरिणा| कामरूपेण कौन्तेय दुष्पूरेणानलेन च || 3.39 ||  ,"Desire, O son of Kunti, is an unquenchable fire that constantly obstructs the wise from attaining knowledge.",,,,,,,,,,,,,,,,,
4,6,God's Incarnation (Avatar),Incarnation,अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोऽपि सन्| प्रकृतिं स्वामधिष्ठाय संभवाम्यात्ममायया || 4.6 ||  ,"Even though I am naturally birthless and imperishable, as the Lord of all beings, by controlling My Prakriti, I manifest Myself through My own Maya.",,,,,,,,,,,,,,,,,
4,7,God's Incarnation (Avatar),Incarnation,यदा यदा हि धर्मस्य ग्लानिर्भवति भारत| अभ्युत्थानमधर्मस्य तदाऽऽत्मानं सृजाम्यहम् || 4.7 ||  ,"Whenever there is a decline in virtue and an increase in vice, I reveal Myself, O descendant of the Bharata dynasty.",,,,,,,,,,,,,,,,,
4,8,God's Incarnation (Avatar),Incarnation,परित्राणाय साधूनां विनाशाय च दुष्कृताम्| धर्मसंस्थापनार्थाय संभवामि युगे युगे || 4.8 ||  ,"In order to safeguard the righteous, vanquish the wicked, and establish righteousness, I appear in every era.",,,,,,,,,,,,,,,,,
4,36,Salvation for sinners,Salvation,अपि चेदसि पापेभ्यः सर्वेभ्यः पापकृत्तमः| सर्वं ज्ञानप्लवेनैव वृजिनं सन्तरिष्यसि || 4.36 || ,"Even if you are considered the greatest sinner among all sinners, you can still overcome all wickedness solely through the raft of Knowledge.",,,,,,,,,,,,,,,,,
4,39,Faith and Peace,Peace,श्रद्धावाँल्लभते ज्ञानं तत्परः संयतेन्द्रियः| ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति || 4.39 ||  ,"One who possesses faith, is diligent, and exercises self-control can attain Knowledge, and with the attainment of Knowledge, one can soon reach the state of supreme Peace.",,,,,,,,,,,,,,,,,
5,2,Superiority of Karma Yoga,Karma,संन्यासः कर्मयोगश्च निःश्रेयसकरावुभौ| तयोस्तु कर्मसंन्यासात्कर्मयोगो विशिष्यते || 5.2 ||  ,"Both renunciation of actions and Karma-yoga can lead to Liberation, but Karma-yoga surpasses renunciation of actions.",,,,,,,,,,,,,,,,,
5,12,Faith and Peace,Peace,युक्तः कर्मफलं त्यक्त्वा शान्तिमाप्नोति नैष्ठिकीम्| अयुक्तः कामकारेण फले सक्तो निबध्यते || 5.12 ||  ,"By firmly placing one's faith and becoming determined to relinquish the fruits of one's labor, one can attain the Peace that arises from steadfastness. However, a person who lacks resolute faith and is driven by desire to attain the results of their actions becomes bound.",,,,,,,,,,,,,,,,,
5,21,Equanimity,Equanimity,बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम्| स ब्रह्मयोगयुक्तात्मा सुखमक्षयमश्नुते || 5.21 ||  ,"By detaching oneself from external objects, one can experience the bliss that exists within the Self. By focusing the mind on meditation of Brahman, one can attain the eternal Bliss that never fades away.",,,,,,,,,,,,,,,,,
5,22,Cause of Sorrow,Sorrow,ये हि संस्पर्शजा भोगा दुःखयोनय एव ते| आद्यन्तवन्तः कौन्तेय न तेषु रमते बुधः || 5.22 ||  ,"As pleasures derived from contact with external objects are fleeting and ultimately result in sorrow, a wise individual, O son of Kunti, does not take pleasure in them.",,,,,,,,,,,,,,,,,
5,23,Definition of Yogi,Yogi,शक्नोतीहैव यः सोढुं प्राक्शरीरविमोक्षणात्| कामक्रोधोद्भवं वेगं स युक्तः स सुखी नरः || 5.23 ||  ,"A person who is able to resist the urges of desire and anger even while still in their physical body is a true yogi, and such a person experiences true happiness.",,,,,,,,,,,,,,,,,
5,26,Salvation,Salvation,कामक्रोधवियुक्तानां यतीनां यतचेतसाम्| अभितो ब्रह्मनिर्वाणं वर्तते विदितात्मनाम् || 5.26 ||  ,"For ascetics who have achieved self-control, conquered desire and anger, and attained realization of the Self, the state of absolute freedom or salvation is present in all directions.",,,,,,,,,,,,,,,,,
6,11,Physical Preparation for Meditation,Meditation,शुचौ देशे प्रतिष्ठाप्य स्थिरमासनमात्मनः| नात्युच्छ्रितं नातिनीचं चैलाजिनकुशोत्तरम् || 6.11 || ,"To ensure a suitable seat for meditation, one should firmly establish in a clean location that is neither too high nor too low. The seat can be made of cloth, skin, and kusa-grass, arranged in succession from bottom to top.",,,,,,,,,,,,,,,,,
6,13,Meditation Posture,Meditation,समं कायशिरोग्रीवं धारयन्नचलं स्थिरः| संप्रेक्ष्य नासिकाग्रं स्वं दिशश्चानवलोकयन् || 6.13 || ,"To maintain a steady posture and gaze during meditation, one should keep the body, head, and neck upright and motionless, fix their gaze at the tip of their nose, and avoid looking around.",,,,,,,,,,,,,,,,,
6,14,Mental Preparation for Meditation,Meditation,प्रशान्तात्मा विगतभीर्ब्रह्मचारिव्रते स्थितः| मनः संयम्य मच्चित्तो युक्त आसीत मत्परः || 6.14 || ,"In order to control the mind through concentration and ultimately attain the supreme Goal of being united with Me, one must remain seated with a calm and peaceful mind, free from fear, and committed to celibacy.",,,,,,,,,,,,,,,,,
6,15,Reward of Meditation,Meditation,युञ्जन्नेवं सदाऽऽत्मानं योगी नियतमानसः| शान्तिं निर्वाणपरमां मत्संस्थामधिगच्छति || 6.15 || ,"By constantly concentrating the mind in this manner, the yogi who has attained control over their thoughts can attain the ultimate state of Peace that leads to Liberation, and this state of Peace resides within Me.",,,,,,,,,,,,,,,,,
6,16,Importance of Moderation,Moderation,नात्यश्नतस्तु योगोऽस्ति न चैकान्तमनश्नतः| न चातिस्वप्नशीलस्य जाग्रतो नैव चार्जुन || 6.16 || ,"O Arjuna, please be aware that yoga is not suitable for those who eat excessively or abstain from food altogether, nor is it meant for individuals who tend to oversleep or remain awake for prolonged periods.",,,,,,,,,,,,,,,,,
6,17,Importance of Moderation,Moderation,युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु| युक्तस्वप्नावबोधस्य योगो भवति दुःखहा || 6.17 || ,"For those who regulate their eating and movements, maintain moderate effort in their work, and practice temperance in sleep and wakefulness, yoga can serve as a means of dispelling sorrow.",,,,,,,,,,,,,,,,,
6,19,Attributes of Meditative Mind,Meditation,यथा दीपो निवातस्थो नेङ्गते सोपमा स्मृता| योगिनो यतचित्तस्य युञ्जतो योगमात्मनः || 6.19 || ,A yogi who has achieved control over their mind and is focused on the Self can be likened to a lamp that remains steady without flickering when placed in a windless area.,,,,,,,,,,,,,,,,,
6,22,Equanimity,Equanimity,यं लब्ध्वा चापरं लाभं मन्यते नाधिकं ततः| यस्मिन्स्थितो न दुःखेन गुरुणापि विचाल्यते || 6.22 || ,"Acquiring something that one considers to be unparalleled and being firmly established in it, such that even profound sadness does not disturb one.",,,,,,,,,,,,,,,,,
6,26,Mental Preparation for Meditation,Meditation,यतो यतो निश्चरति मनश्चञ्चलमस्थिरम्| ततस्ततो नियम्यैतदात्मन्येव वशं नयेत् || 6.26 || ,"The yogi ought to control their mind by preventing it from being distracted by any causes that lead to its restlessness and instability, thereby subjecting it to the authority of the Self.",,,,,,,,,,,,,,,,,
7,4,Physical Nature (Prakriti),Prakriti,भूमिरापोऽनलो वायुः खं मनो बुद्धिरेव च| अहङ्कार इतीयं मे भिन्ना प्रकृतिरष्टधा || 7.4 || ,"My Prakrti is divided into eight parts: earth, water, fire, air, space, mind, intellect, and ego.",,,,,,,,,,,,,,,,,
7,14,Surrender,Surrender,दैवी ह्येषा गुणमयी मम माया दुरत्यया| मामेव ये प्रपद्यन्ते मायामेतां तरन्ति ते || 7.14 || ,"My Maya, which is made up of the gunas, is challenging to overcome. As a result, only those who seek refuge in Me exclusively are able to transcend this Maya.",,,,,,,,,,,,,,,,,
8,13,Om,Om,ओमित्येकाक्षरं ब्रह्म व्याहरन्मामनुस्मरन्| यः प्रयाति त्यजन्देहं स याति परमां गतिम् || 8.13 || ,"The individual who exits their physical body while chanting the single syllable ""Om,"" which represents Brahman, and focusing their thoughts on me, will achieve the ultimate objective.",,,,,,,,,,,,,,,,,
8,28,Salvation,Salvation,वेदेषु यज्ञेषु तपःसु चैव दानेषु यत्पुण्यफलं प्रदिष्टम्| अत्येति तत्सर्वमिदं विदित्वा योगी परं स्थानमुपैति चाद्यम् || 8.28 || ,"Once the yogi acquires this knowledge, s/he surpasses all the outcomes of virtuous actions described in the Vedas, such as sacrifices, penances, and charitable acts, and attains the original and ultimate supreme state.",,,,,,,,,,,,,,,,,
9,3,Cycle of Birth and Death,Transmigration,अश्रद्दधानाः पुरुषा धर्मस्यास्य परन्तप| अप्राप्य मां निवर्तन्ते मृत्युसंसारवर्त्मनि || 9.3 || ,"Those who ignore the teachings of Dharma, which is the knowledge of the Self, will continue to wander aimlessly on the cycle of reincarnation, which is filled with death, without ever reaching me.",,,,,,,,,,,,,,,,,
9,26,God's Function,God,पत्रं पुष्पं फलं तोयं यो मे भक्त्या प्रयच्छति| तदहं भक्त्युपहृतमश्नामि प्रयतात्मनः || 9.26 || ,"I accept any gift, whether it is a leaf, a flower, a fruit, or water, that is offered to me with pure-hearted devotion.",,,,,,,,,,,,,,,,,
9,27,Devotion,Devotion,यत्करोषि यदश्नासि यज्जुहोषि ददासि यत्| यत्तपस्यसि कौन्तेय तत्कुरुष्व मदर्पणम् || 9.27 || ,"Whatever actions you perform, whatever you eat, whatever offerings you make, whatever you give, and whatever austerities you undertake, do them as an offering to Me, O son of Kunti.",,,,,,,,,,,,,,,,,
9,34,Devotion,Devotion,मन्मना भव मद्भक्तो मद्याजी मां नमस्कुरु| मामेवैष्यसि युक्त्वैवमात्मानं मत्परायणः || 9.34 || ,"If you focus your mind on Me, remain dedicated to Me, offer sacrifices to Me, and show reverence to Me, while keeping Me as the ultimate aim, you will undoubtedly reach Me, who is the Self.",,,,,,,,,,,,,,,,,
12,8,Surrender,Surrender,मय्येव मन आधत्स्व मयि बुद्धिं निवेशय| निवसिष्यसि मय्येव अत ऊर्ध्वं न संशयः || 12.8 || ,"Direct your thoughts solely towards Me and let your intellect find solace in Me. Without a doubt, you will reside exclusively in My presence in the future.",,,,,,,,,,,,,,,,,
12,13,Equanimity,Equanimity,अद्वेष्टा सर्वभूतानां मैत्रः करुण एव च| निर्ममो निरहङ्कारः समदुःखसुखः क्षमी || 12.13 || ,"A person who does not harbor hatred towards any living being, is amicable and empathetic, relinquishes the notions of possession and selfishness, remains equanimous in both joy and sorrow, and is forgiving.",,,,,,,,,,,,,,,,,
12,14,Devotion,Devotion,सन्तुष्टः सततं योगी यतात्मा दृढनिश्चयः| मय्यर्पितमनोबुद्धिर्यो मद्भक्तः स मे प्रियः || 12.14 || ,"One who remains constantly satisfied, practices yoga, exhibits self-discipline, holds unwavering faith, and directs their thoughts and intellect towards me is a cherished devotee in my eyes.",,,,,,,,,,,,,,,,,
12,16,Devotion,Devotion,अनपेक्षः शुचिर्दक्ष उदासीनो गतव्यथः| सर्वारम्भपरित्यागी यो मद्भक्तः स मे प्रियः || 12.16 || ,"The one who is without desires, pure, skillful, unbiased, fearless, and has given up all actions - this kind of devotee is beloved to Me.",,,,,,,,,,,,,,,,,
14,6,Characteristics of Sattva,Gunas,तत्र सत्त्वं निर्मलत्वात्प्रकाशकमनामयम्| सुखसङ्गेन बध्नाति ज्ञानसङ्गेन चानघ || 14.6 || ,"Sattva, which is pure and harmless, serves as an illuminating force. It binds one through attachment to happiness and attachment to knowledge.",,,,,,,,,,,,,,,,,
14,8,Characteristics of Tamas,Gunas,तमस्त्वज्ञानजं विद्धि मोहनं सर्वदेहिनाम्| प्रमादालस्यनिद्राभिस्तन्निबध्नाति भारत || 14.8 || ,"Ignorance gives rise to tamas, which deceives all living beings. This binding force arises from inadvertence, laziness, and sleep. O descendant of the Bharata clan, keep this in mind.",,,,,,,,,,,,,,,,,
14,17,Characteristics of Gunas,Gunas,सत्त्वात्सञ्जायते ज्ञानं रजसो लोभ एव च| प्रमादमोहौ तमसो भवतोऽज्ञानमेव च || 14.17 || ,"Knowledge arises from sattva, while avarice arises from rajas. Inadvertence, delusion, and ignorance are all born from tamas.",,,,,,,,,,,,,,,,,
14,25,Equanimity,Equanimity,मानापमानयोस्तुल्यस्तुल्यो मित्रारिपक्षयोः| सर्वारम्भपरित्यागी गुणातीतः स उच्यते || 14.25 || ,"The one who maintains the same character regardless of whether they are being praised or criticized, and who is equally compassionate towards both friends and enemies, while also relinquishing all selfish pursuits, is considered to have transcended the limitations of human nature.",,,,,,,,,,,,,,,,,
15,15,God's Nature,God,सर्वस्य चाहं हृदि सन्निविष्टो मत्तः स्मृतिर्ज्ञानमपोहनं च| वेदैश्च सर्वैरहमेव वेद्यो वेदान्तकृद्वेदविदेव चाहम् || 15.15 || ,"I reside in the hearts of everyone, and from me come memory, knowledge, and forgetfulness. All the Vedas aim to understand me, and I am both the creator of Vedanta and the one who comprehends the Vedas.",,,,,,,,,,,,,,,,,
16,3,Equanimity,Equanimity,तेजः क्षमा धृतिः शौचमद्रोहो नातिमानिता| भवन्ति सम्पदं दैवीमभिजातस्य भारत || 16.3 || ,"O scion of the Bharata dynasty, one who is destined to have a divine nature possesses qualities such as vigor, forgiveness, fortitude, purity, freedom from malice, and absence of haughtiness.",,,,,,,,,,,,,,,,,
16,4,Demoniacal State,Hell,दम्भो दर्पोऽभिमानश्च क्रोधः पारुष्यमेव च| अज्ञानं चाभिजातस्य पार्थ सम्पदमासुरीम् || 16.4 || ,"One who is fated to have a demonic nature exhibits characteristics such as religious hypocrisy, arrogance, conceit, anger, impoliteness, and ignorance, O Prtha's son.",,,,,,,,,,,,,,,,,
16,16,Hell,Hell,अनेकचित्तविभ्रान्ता मोहजालसमावृताः| प्रसक्ताः कामभोगेषु पतन्ति नरकेऽशुचौ || 16.16 || ,"They fall into a dreadful hell as they become absorbed in the pleasure of desirable objects, entangled in the net of delusion, and overwhelmed by delusion.",,,,,,,,,,,,,,,,,
16,19,Hell,Hell,तानहं द्विषतः क्रूरान्संसारेषु नराधमान्| क्षिपाम्यजस्रमशुभानासुरीष्वेव योनिषु || 16.19 || ,"I banish the most wicked individuals, who are filled with hate, cruelty, and evil, to the infernal realms, where they belong among demonic beings.",,,,,,,,,,,,,,,,,
16,21,Hell,Hell,त्रिविधं नरकस्येदं द्वारं नाशनमात्मनः| कामः क्रोधस्तथा लोभस्तस्मादेतत्त्रयं त्यजेत् || 16.21 || ,"The door to hell, which can ruin one's soul, manifests in three forms - desire, rage, and avarice. As such, it's important to renounce these three.",,,,,,,,,,,,,,,,,
17,8,Sattvik Food,Gunas,आयुःसत्त्वबलारोग्यसुखप्रीतिविवर्धनाः| रस्याः स्निग्धाः स्थिरा हृद्या आहाराः सात्त्विकप्रियाः || 17.8 || ,"A person who has sattva, or purity of mind, values foods that enhance vitality, mental clarity, physical strength, well-being, happiness, and pleasure. Such foods are typically rich, juicy, substantial, and enjoyable.",,,,,,,,,,,,,,,,,
17,14,Austerity of body,Austerity,देवद्विजगुरुप्राज्ञपूजनं शौचमार्जवम्| ब्रह्मचर्यमहिंसा च शारीरं तप उच्यते || 17.14 || ,"Bodily austerity is said to involve the worship of gods, twice-borns, venerable persons, and the wise, as well as the practice of purity, straightforwardness, celibacy, and non-injury.",,,,,,,,,,,,,,,,,
17,15,Austerity of speech,Austerity,अनुद्वेगकरं वाक्यं सत्यं प्रियहितं च यत्| स्वाध्यायाभ्यसनं चैव वाङ्मयं तप उच्यते || 17.15 || ,"Austerity of speech is defined as the act of speaking in a manner that is not hurtful, but rather truthful, pleasant, and beneficial, and also includes the study of sacred texts.",,,,,,,,,,,,,,,,,
17,16,Austerity of mind,Austerity,मनःप्रसादः सौम्यत्वं मौनमात्मविनिग्रहः| भावसंशुद्धिरित्येतत्तपो मानसमुच्यते || 17.16 || ,"The practice of mental austerity is characterized by tranquility of the mind, gentleness, reticence, withdrawing the mind, and purity of heart.",,,,,,,,,,,,,,,,,
17,23,Om,Om,तत्सदिति निर्देशो ब्रह्मणस्त्रिविधः स्मृतः| ब्राह्मणास्तेन वेदाश्च यज्ञाश्च विहिताः पुरा || 17.23 || ,"The phrase ""Om Tat Sat"" has been recognized as the threefold designation of Brahman, which served as the basis for the creation of the Brahmanas, Vedas, and rituals in the past.",,,,,,,,,,,,,,,,,
17,24,Om,Om,तस्मादोमित्युदाहृत्य यज्ञदानतपःक्रियाः| प्रवर्तन्ते विधानोक्ताः सततं ब्रह्मवादिनाम् || 17.24 || ,"Hence, individuals who study and teach the Vedas commence their acts of sacrifice, charity, and austerity as per the prescribed injunctions only after chanting the syllable Om.",,,,,,,,,,,,,,,,,
18,23,Sattvik Action,Gunas,नियतं सङ्गरहितमरागद्वेषतः कृतम्| अफलप्रेप्सुना कर्म यत्तत्सात्त्विकमुच्यते || 18.23 || ,"When someone performs daily obligatory actions out of duty and without any personal preferences or desire for rewards, it is considered to be a result of the quality of sattva.",,,,,,,,,,,,,,,,,
18,26,Sattvik Person,Gunas,मुक्तसङ्गोऽनहंवादी धृत्युत्साहसमन्वितः| सिद्ध्यसिद्ध्योर्निर्विकारः कर्ता सात्त्विक उच्यते || 18.26 || ,"A person who is devoid of attachment, not self-centered, possesses strength and persistence, and remains unaffected by triumphs and setbacks is considered to have sattva.",,,,,,,,,,,,,,,,,
18,32,Tamasic Intellect,Gunas,अधर्मं धर्ममिति या मन्यते तमसाऽऽवृता| सर्वार्थान्विपरीतांश्च बुद्धिः सा पार्थ तामसी || 18.32 || ,"O Partha, the intellect that arises from tamas is shrouded in darkness, leading it to view vice as virtue and perceive things in a manner that contradicts their true nature.",,,,,,,,,,,,,,,,,
18,37,Sattva,Gunas,यत्तदग्रे विषमिव परिणामेऽमृतोपमम्| तत्सुखं सात्त्विकं प्रोक्तमात्मबुद्धिप्रसादजम् || 18.37 || ,"The joy that originates from the purity of one's intellect is called born of sattva. Although it may seem poisonous initially, it ultimately becomes comparable to nectar.",,,,,,,,,,,,,,,,,
18,39,Tamas,Gunas,यदग्रे चानुबन्धे च सुखं मोहनमात्मनः| निद्रालस्यप्रमादोत्थं तत्तामसमुदाहृतम् || 18.39 || ,"It is claimed that happiness originating from tamas, whether at the outset or later, is illusory and stems from being drowsy, indolent, and inattentive.",,,,,,,,,,,,,,,,,
18,48,Importance of Performing Duty,Duty,सहजं कर्म कौन्तेय सदोषमपि न त्यजेत्| सर्वारम्भा हि दोषेण धूमेनाग्निरिवावृताः || 18.48 || ,"O son of Kunti, it is imperative that one does not abandon their inherent duty, even if it is flawed. Every endeavor is bound to have challenges, just as fire is accompanied by smoke.",,,,,,,,,,,,,,,,,
18,57,Surrender,Surrender,चेतसा सर्वकर्माणि मयि संन्यस्य मत्परः| बुद्धियोगमुपाश्रित्य मच्चित्तः सततं भव || 18.57 || ,"By focusing your intellect and fully surrendering all actions to Me, accept Me as the ultimate authority and maintain a constant awareness of Me in your mind.",,,,,,,,,,,,,,,,,
18,58,Surrender,Surrender,मच्चित्तः सर्वदुर्गाणि मत्प्रसादात्तरिष्यसि| अथ चेत्त्वमहङ्कारान्न श्रोष्यसि विनङ्क्ष्यसि || 18.58 || ,"By keeping your mind focused on Me, you will overcome all challenges with the help of My grace. However, if you refuse to listen due to your own arrogance, you will perish.",,,,,,,,,,,,,,,,,
1,1,,,,,धृतराष्ट्र,धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः| मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय  || 1.1 || ,"Dhṛtarāṣṭra said: “O Sanjaya, what did my people and the Pāṇḍavas do, gathered together on the holy field of Kurukshetra, eager for battle?”","Dhṛtarāṣṭra said: O Sanjaya, what did my sons and the sons of Pandu do when they assembled on the sacred field of Kurukshetra, eager for battle?","Dhritarashtra said, ""What did my people and the sons of Pandu do when they had assembled together, eager for battle, on the holy plain of Kurukshetra, O Sanjaya?""","Dhritarashtra said, ""O Sanjaya, what did my sons and the sons of Pandu do in the Kurukshetra, the field of righteousness, where the entire warring class had assembled?""","The King Dhritarashtra asked, ""O Sanjaya! What happened on the sacred battlefield of Kurukshetra when my people and the Pandavas gathered?""",,,,,,,,,,
1,2,,,,,सञ्जय,दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा| आचार्यमुपसङ्गम्य राजा वचनमब्रवीत्  || 1.2 || ,"Sanjaya said: King Duryodhana, upon seeing the Pandava army in battle array, approached his teacher Drona and said these words.","Sanjaya said: But then, seeing the army of the Pandavas in battle array, King Duryodhana approached the teacher, Drona, and spoke.","Sanjaya said: Having seen the army of the Pandavas drawn up in battle array, King Duryodhana approached his teacher, Drona, and spoke these words.","Sanjaya said: Seeing the army of the sons of Pandu marshaled in military array, the prince Duryodhana approached the teacher Drona and spoke these words at that time:","Sanjaya replied: ""When Prince Duryodhana saw the Pandavas' army paraded, he approached his preceptor Guru Drona and spoke these words:",,,,,,,,,,
